,BASN.ndvi.m,CALI.ndvi.m,COLL.ndvi.m,EAST.ndvi.m,GRAV.ndvi.m,IBPE.ndvi.m,NORT.ndvi.m,RABB.ndvi.m,SAND.ndvi.m,SMAL.ndvi.m,SUMM.ndvi.m,TAYL.ndvi.m,TOBO.ndvi.m,WELL.ndvi.m,WEST.ndvi.m
MOD13Q1.A2000049.250m_16_days_NDVI,1423,1585,1622,1299,1601,1643,1457,1573,1597,1540,1916,1234,1277,1623,1289
MOD13Q1.A2000065.250m_16_days_NDVI,1435,1481,1593,1283,1509,1646,1553,1576,1616,1518,1951,1260,1307,1592,1319
MOD13Q1.A2000081.250m_16_days_NDVI,1386,1476,1527,1275,1452,1589,1475,1522,1498,1519,1845,1279,1290,1519,1299
MOD13Q1.A2000097.250m_16_days_NDVI,1388,1665,1546,1326,1451,1568,1456,1569,1526,1476,1855,1279,1243,1561,1308
MOD13Q1.A2000113.250m_16_days_NDVI,1283,1367,1535,1184,1455,1533,1789,1861,1470,1734,1776,1266,1327,1915,1211
MOD13Q1.A2000129.250m_16_days_NDVI,1337,1450,1518,1246,1407,1543,1902,1899,1457,1806,1752,1247,1257,1915,1242
MOD13Q1.A2000145.250m_16_days_NDVI,1395,1405,1650,1305,1496,1661,1893,1888,1464,1751,1641,1281,1424,1852,1302
MOD13Q1.A2000161.250m_16_days_NDVI,1557,1634,1898,1429,1675,2051,1829,2055,1763,1348,1864,1440,1958,1902,1258
MOD13Q1.A2000177.250m_16_days_NDVI,2397,2688,2728,1968,2170,3442,2370,2692,2644,2340,2884,2153,3600,2232,1970
MOD13Q1.A2000193.250m_16_days_NDVI,2819,2519,2824,1863,1914,3450,2514,2957,2793,2876,3205,1871,3841,2333,1734
MOD13Q1.A2000209.250m_16_days_NDVI,2204,2267,2515,1671,1728,2839,2460,2733,2131,2957,2348,1705,2516,2171,1648
MOD13Q1.A2000225.250m_16_days_NDVI,1736,1660,1919,1513,1549,2465,2349,2698,1829,2545,2162,1627,1888,2093,1539
MOD13Q1.A2000241.250m_16_days_NDVI,1668,1761,1947,1431,1592,2664,2237,2393,1801,2502,2389,1828,1823,1976,1379
MOD13Q1.A2000257.250m_16_days_NDVI,1579,1678,1698,1366,1490,2115,2198,2355,1715,2292,2195,1396,1532,1971,1351
MOD13Q1.A2000273.250m_16_days_NDVI,1552,1668,1910,1407,1482,2031,2144,2275,1688,2244,2132,1423,1498,1915,1352
MOD13Q1.A2000289.250m_16_days_NDVI,1605,1650,1911,1381,1662,2057,2200,2220,1888,2191,1933,1963,1554,1942,1370
MOD13Q1.A2000305.250m_16_days_NDVI,1490,1550,1532,1481,1505,1671,1729,1794,1675,2003,1976,1591,1340,1652,1479
MOD13Q1.A2000321.250m_16_days_NDVI,1323,1503,1584,1380,1404,1598,1601,1670,1499,1682,2087,1307,1212,1527,1289
MOD13Q1.A2000337.250m_16_days_NDVI,1337,1589,1422,1338,1505,1567,1481,1519,1641,1556,2097,1314,1140,1471,1284
MOD13Q1.A2000353.250m_16_days_NDVI,1373,1677,1516,1371,1496,1664,1489,1568,1578,1583,2014,1332,1189,1526,1245
MOD13Q1.A2001001.250m_16_days_NDVI,1460,1547,1464,1488,1468,1690,1542,1653,1721,1679,2043,1437,1302,1588,1403
MOD13Q1.A2001017.250m_16_days_NDVI,1466,1519,1332,1325,1475,1629,1454,1512,1698,1579,2185,1247,1176,1526,1193
MOD13Q1.A2001033.250m_16_days_NDVI,1270,1460,1365,1252,1627,1590,1409,1504,1537,1531,2011,1269,1227,1463,1270
MOD13Q1.A2001049.250m_16_days_NDVI,1304,1701,1283,1247,1396,1676,1457,1530,1623,1616,2006,1242,1227,1506,1277
MOD13Q1.A2001065.250m_16_days_NDVI,1560,1952,1368,1287,1559,1905,1527,1722,1736,1867,2180,1267,1344,1684,1268
MOD13Q1.A2001081.250m_16_days_NDVI,1624,1760,1382,1214,1514,2061,1496,1696,1775,1933,1993,1234,1389,1832,1233
MOD13Q1.A2001097.250m_16_days_NDVI,1666,1921,1416,1328,1618,1920,1703,1865,1918,2056,2369,1271,1611,1873,1262
MOD13Q1.A2001113.250m_16_days_NDVI,1459,1640,1522,1316,1549,1745,2241,2152,1594,2056,2079,1276,1634,2136,1271
MOD13Q1.A2001129.250m_16_days_NDVI,1490,1546,1658,1300,1590,1787,2327,2251,1583,2088,2253,1309,1481,2262,1249
MOD13Q1.A2001145.250m_16_days_NDVI,1444,1602,1617,1248,1478,1689,2254,2154,1550,1985,2071,1277,1521,2148,1201
MOD13Q1.A2001161.250m_16_days_NDVI,1383,1472,1563,1245,1450,1642,2171,2147,1500,1942,1903,1237,1300,2053,1219
MOD13Q1.A2001177.250m_16_days_NDVI,1420,1470,1650,1281,1536,1641,1996,2175,1605,1997,2111,1329,1386,2211,1334
MOD13Q1.A2001193.250m_16_days_NDVI,1387,1485,1564,1223,1475,1686,2050,2024,1523,1908,1807,1340,1702,2115,1228
MOD13Q1.A2001209.250m_16_days_NDVI,1346,1462,1583,1284,1427,1616,2012,1896,1438,1774,1896,1426,1438,1865,1358
MOD13Q1.A2001225.250m_16_days_NDVI,1310,1453,1531,1337,1389,1726,2027,2032,1438,1605,1675,1449,1334,2016,1315
MOD13Q1.A2001241.250m_16_days_NDVI,1371,1544,2126,1313,1395,1701,1964,1947,1470,1721,1931,1454,1333,1932,1255
MOD13Q1.A2001257.250m_16_days_NDVI,1785,1729,3232,1420,1592,2141,2088,2058,1657,2256,2159,2259,1779,1988,1447
MOD13Q1.A2001273.250m_16_days_NDVI,1834,1825,3036,1439,1590,2281,2030,2017,1929,2315,2390,1842,2065,2064,1481
MOD13Q1.A2001289.250m_16_days_NDVI,1662,1788,2441,1451,1518,2171,2059,2122,1731,2278,2249,1724,2011,2067,1394
MOD13Q1.A2001305.250m_16_days_NDVI,1523,1742,2552,1362,1574,2083,1966,2037,1688,2227,2167,1647,1532,2030,1317
MOD13Q1.A2001321.250m_16_days_NDVI,1581,1757,1846,1357,1558,1853,1823,1917,1711,1907,2031,1573,1473,1935,1345
MOD13Q1.A2001337.250m_16_days_NDVI,1456,1597,1767,1400,1772,1758,1611,1689,1674,1816,2036,1470,1465,1723,1345
MOD13Q1.A2001353.250m_16_days_NDVI,1437,1718,1669,1331,1375,1720,1541,1587,1576,1605,2093,1410,1515,1596,1219
MOD13Q1.A2002001.250m_16_days_NDVI,1411,1590,1613,1298,1648,1672,1466,1470,1711,1727,1881,1350,1337,1550,1221
MOD13Q1.A2002017.250m_16_days_NDVI,1416,1540,1620,1421,1465,1626,1579,1607,1733,1652,1976,1488,1400,1618,1322
MOD13Q1.A2002033.250m_16_days_NDVI,1347,1416,1425,1454,1541,1590,1540,1561,1532,1552,1953,1564,1301,1596,1497
MOD13Q1.A2002049.250m_16_days_NDVI,1297,1367,1335,1232,1280,1476,1466,1482,1485,1503,1906,1250,1230,1516,1228
MOD13Q1.A2002065.250m_16_days_NDVI,1262,1343,1393,1150,1269,1534,1542,1556,1433,1555,1893,1274,1218,1543,1191
MOD13Q1.A2002081.250m_16_days_NDVI,1259,1476,1435,1235,1262,1570,1515,1558,1470,1567,1638,1226,1192,1550,1171
MOD13Q1.A2002097.250m_16_days_NDVI,1245,1357,1509,1209,1462,1529,1496,1551,1461,1576,1805,1243,1192,1572,1221
MOD13Q1.A2002113.250m_16_days_NDVI,1249,1284,1442,1221,1228,1532,1904,1971,1442,1930,1622,1241,1268,1903,1219
MOD13Q1.A2002129.250m_16_days_NDVI,1227,1312,1519,1153,1296,1631,1896,1924,1438,1977,1943,1240,1334,1963,1181
MOD13Q1.A2002145.250m_16_days_NDVI,1252,1408,1610,1145,1312,1537,1850,1881,1365,2029,1666,1217,1257,1894,1147
MOD13Q1.A2002161.250m_16_days_NDVI,1323,1343,1432,1136,1349,1579,1815,1810,1403,1848,1672,1200,1327,1780,1208
MOD13Q1.A2002177.250m_16_days_NDVI,1399,1603,1441,1289,1409,1570,1827,1794,1488,1826,1817,1390,1377,1821,1309
MOD13Q1.A2002193.250m_16_days_NDVI,1527,1493,1713,1415,1309,1884,1726,1811,1501,1784,1905,1536,1530,1822,1404
MOD13Q1.A2002209.250m_16_days_NDVI,2284,1784,2416,1651,1449,2645,1959,2187,1825,1756,1946,1959,2191,1718,1628
MOD13Q1.A2002225.250m_16_days_NDVI,2492,1922,2764,1994,1629,2345,1895,2101,1988,2364,2478,1768,2487,1718,1727
MOD13Q1.A2002241.250m_16_days_NDVI,2327,1906,3600,1745,1671,2347,1805,1997,2208,2647,2380,1587,1960,1747,1750
MOD13Q1.A2002257.250m_16_days_NDVI,2015,1990,2425,1590,1611,2097,1814,1976,1862,2553,2148,1535,1948,1655,1779
MOD13Q1.A2002273.250m_16_days_NDVI,1854,2132,3442,1594,1808,1836,1753,1853,1779,2340,2268,1495,1567,1524,1689
MOD13Q1.A2002289.250m_16_days_NDVI,2257,2007,2821,2112,1773,2061,2022,1917,1828,2152,2617,2157,1983,1625,2007
MOD13Q1.A2002305.250m_16_days_NDVI,1602,1709,2588,1506,1529,1677,1628,1753,1674,2016,2038,1453,1336,1531,1541
MOD13Q1.A2002321.250m_16_days_NDVI,1533,1902,1734,1416,1735,1612,1462,1573,1630,1758,2005,1353,1389,1480,1680
MOD13Q1.A2002337.250m_16_days_NDVI,1612,1737,1775,1751,1949,1530,1443,1494,1932,1721,1931,1792,1522,1364,1843
MOD13Q1.A2002353.250m_16_days_NDVI,1576,1723,1743,1634,1734,1438,1389,1461,1839,1655,1982,1514,1307,1365,1674
MOD13Q1.A2003001.250m_16_days_NDVI,1370,1558,1703,1310,1533,1501,1359,1477,1597,1480,2009,1338,1232,1372,1331
MOD13Q1.A2003017.250m_16_days_NDVI,1384,1604,1556,1386,1541,1492,1407,1433,1602,1575,1900,1245,1208,1339,1340
MOD13Q1.A2003033.250m_16_days_NDVI,1618,1827,1756,1559,1687,1639,1601,1583,1806,1771,2141,1616,1458,1557,1657
MOD13Q1.A2003049.250m_16_days_NDVI,1425,1812,1574,1603,1582,1694,1375,1479,1794,1786,2225,1470,1520,1440,1326
MOD13Q1.A2003065.250m_16_days_NDVI,1393,1713,1546,1368,1827,1637,1510,1601,1602,1732,2235,1254,1299,1162,1386
MOD13Q1.A2003081.250m_16_days_NDVI,1490,1877,1753,1371,1768,1847,1540,1696,1756,1727,2273,1271,1388,1513,1367
MOD13Q1.A2003097.250m_16_days_NDVI,1530,2028,1912,1421,1870,1917,1653,1746,1966,1770,2218,1267,1431,1646,1412
MOD13Q1.A2003113.250m_16_days_NDVI,1575,1883,1751,1447,1711,1728,1942,2100,1822,1800,2168,1361,1481,1789,1363
MOD13Q1.A2003129.250m_16_days_NDVI,1487,1646,1763,1374,1622,1668,2081,2073,1677,1892,1909,1334,1504,1878,1374
MOD13Q1.A2003145.250m_16_days_NDVI,1557,1640,1860,1334,1837,1693,2037,2049,1736,2049,1889,1367,1521,1939,1399
MOD13Q1.A2003161.250m_16_days_NDVI,1439,1587,1723,1346,1633,1675,1949,1984,1699,2048,2006,1325,1405,1882,1365
MOD13Q1.A2003177.250m_16_days_NDVI,1438,1556,1734,1314,1559,1632,1810,1859,1626,1895,2128,1295,1455,1904,1348
MOD13Q1.A2003193.250m_16_days_NDVI,1456,1509,1736,1307,1479,1590,1778,1808,1548,1795,1721,1316,1340,1883,1322
MOD13Q1.A2003209.250m_16_days_NDVI,1455,1584,1697,1334,1490,1578,1822,1873,1666,1896,1858,1255,1369,1717,1314
MOD13Q1.A2003225.250m_16_days_NDVI,1440,1556,1704,1309,1419,1563,1744,1717,1662,1795,2013,1407,1285,1724,1295
MOD13Q1.A2003241.250m_16_days_NDVI,1447,1605,1701,1335,1454,1649,1787,1815,1623,1795,2105,1314,1283,1721,1290
MOD13Q1.A2003257.250m_16_days_NDVI,1435,1678,1558,1288,1628,1580,1755,1742,1606,1790,2484,1302,1348,1656,1307
MOD13Q1.A2003273.250m_16_days_NDVI,1385,1971,1645,1354,1527,1467,1758,1716,1624,1712,2135,1329,1312,1634,1354
MOD13Q1.A2003289.250m_16_days_NDVI,1384,1659,1544,1348,1427,1447,1670,1646,1584,1676,1864,1272,1246,1593,1294
MOD13Q1.A2003305.250m_16_days_NDVI,1437,1695,1596,1777,1494,1500,1646,1628,1598,1651,2160,1655,1580,1597,1508
MOD13Q1.A2003321.250m_16_days_NDVI,1293,1707,1378,1289,1488,1395,1454,1500,1583,1535,2099,1198,1178,1410,1155
MOD13Q1.A2003337.250m_16_days_NDVI,1321,1568,1346,1264,1370,1353,1425,1512,1678,1536,1926,1194,1162,1442,1254
MOD13Q1.A2003353.250m_16_days_NDVI,1294,1475,1371,1260,1387,1359,1413,1471,1619,1449,2005,1225,1184,1443,1211
MOD13Q1.A2004001.250m_16_days_NDVI,1243,1465,1373,1196,1461,1336,1327,1397,1548,1353,1911,1180,1127,1380,1168
MOD13Q1.A2004017.250m_16_days_NDVI,1280,1500,1331,1252,1402,1348,1426,1465,1556,1496,1785,1197,1147,1467,1186
MOD13Q1.A2004033.250m_16_days_NDVI,1261,1424,1320,1201,1341,1311,1405,1435,1444,1393,2039,1204,1197,1462,1176
MOD13Q1.A2004049.250m_16_days_NDVI,1216,1665,1311,1190,1255,1320,1435,1474,1375,1407,1954,1165,1126,1328,1142
MOD13Q1.A2004065.250m_16_days_NDVI,1232,1386,1243,1177,1284,1329,1369,1424,1377,1404,1834,1265,1177,1406,1182
MOD13Q1.A2004081.250m_16_days_NDVI,1338,1518,1399,1359,1406,1395,1417,1461,1849,1352,1715,1226,1215,1475,1309
MOD13Q1.A2004097.250m_16_days_NDVI,1347,1570,1419,1417,1606,1376,1339,1340,1712,1412,1881,1376,1260,1460,1348
MOD13Q1.A2004113.250m_16_days_NDVI,1506,1718,2135,1506,1645,1488,1822,1835,1750,1863,2006,1459,1502,1652,1450
MOD13Q1.A2004129.250m_16_days_NDVI,1585,1724,2296,1546,1652,1664,1905,1892,1811,1939,1831,1423,1449,1755,1401
MOD13Q1.A2004145.250m_16_days_NDVI,1656,1731,2338,1431,1675,1734,1879,1835,1813,2091,1967,1365,1581,1836,1405
MOD13Q1.A2004161.250m_16_days_NDVI,1750,1661,1537,1619,1718,1755,1922,1811,1718,2266,2110,1498,1511,1787,1420
MOD13Q1.A2004177.250m_16_days_NDVI,1838,1832,1613,1692,1700,1688,1809,1818,1729,2270,2152,1478,1557,1750,1588
MOD13Q1.A2004193.250m_16_days_NDVI,1603,1741,1788,1809,1586,1662,1780,1745,1652,2000,2062,1462,1384,1679,1482
MOD13Q1.A2004209.250m_16_days_NDVI,2037,2079,3685,1914,1656,1649,1831,1832,2089,2372,2469,1880,1788,1738,1829
MOD13Q1.A2004225.250m_16_days_NDVI,2247,2380,5111,1936,1876,2041,1901,1916,2204,2982,2827,1902,1958,1802,1859
MOD13Q1.A2004241.250m_16_days_NDVI,2852,2352,5490,1878,1829,1894,1845,1853,2261,2934,2938,1892,1764,1804,1640
